"d-flex href","symbol","text-end","text-end 2","text-end 3","text-end 4","theme-success","theme-success 2","text-end 5","text-end 6","text-end 7","px-4","theme-danger","theme-danger 2","theme-normal"
"https://www.set.or.th/th/market/product/stock/quote/AAV/price","AAV","2.68","2.72","2.66","2.70","+0.04","+1.50","2.68","2.70","23,375,488","63,057.46","","",""
"https://www.set.or.th/th/market/product/stock/quote/ADVANC/price","ADVANC","280.00","285.00","280.00","284.00","+2.00","+0.71","283.00","284.00","7,424,052","2,097,871.38","","",""
"https://www.set.or.th/th/market/product/stock/quote/AEONTS/price","AEONTS","142.00","142.00","140.50","140.50","","","140.50","141.00","140,227","19,759.11","-2.00","-1.40",""
"https://www.set.or.th/th/market/product/stock/quote/AMATA/price","AMATA","26.00","26.25","25.25","25.50","","","25.25","25.50","4,267,786","109,077.36","-0.25","-0.97",""
"https://www.set.or.th/th/market/product/stock/quote/AOT/price","AOT","63.75","64.00","63.25","63.50","","","63.25","63.50","12,162,183","773,538.44","-0.25","-0.39",""
"https://www.set.or.th/th/market/product/stock/quote/AP/price","AP","10.10","10.20","10.00","10.10","","","10.00","10.10","6,086,336","61,479.98","","","0.00"
"https://www.set.or.th/th/market/product/stock/quote/AWC/price","AWC","3.78","3.80","3.74","3.76","","","3.76","3.78","40,546,477","156,119.24","-0.02","-0.53",""
"https://www.set.or.th/th/market/product/stock/quote/BA/price","BA","23.60","23.90","23.50","23.70","","","23.70","23.80","1,767,965","41,945.41","","","0.00"
"https://www.set.or.th/th/market/product/stock/quote/BAM/price","BAM","9.30","9.45","9.25","9.30","","","9.30","9.35","6,174,048","57,576.62","","","0.00"
"https://www.set.or.th/th/market/product/stock/quote/BANPU/price","BANPU","6.40","6.45","6.30","6.40","","","6.35","6.40","32,318,595","205,791.07","","","0.00"
"https://www.set.or.th/th/market/product/stock/quote/BBL/price","BBL","154.00","155.00","152.50","153.50","","","153.50","154.00","6,406,408","984,148.55","-0.50","-0.32",""
"https://www.set.or.th/th/market/product/stock/quote/BCH/price","BCH","18.90","19.00","18.70","18.90","+0.10","+0.53","18.90","19.00","6,311,952","119,195.84","","",""
"https://www.set.or.th/th/market/product/stock/quote/BCP/price","BCP","35.50","35.75","35.00","35.00","","","35.00","35.25","5,543,417","195,023.23","-0.50","-1.41",""
"https://www.set.or.th/th/market/product/stock/quote/BCPG/price","BCPG","6.95","7.15","6.95","7.05","+0.10","+1.44","7.05","7.10","3,850,616","27,192.41","","",""
"https://www.set.or.th/th/market/product/stock/quote/BDMS/price","BDMS","29.00","29.50","28.75","29.50","+0.50","+1.72","29.25","29.50","46,967,276","1,373,182.27","","",""
"https://www.set.or.th/th/market/product/stock/quote/BEM/price","BEM","8.20","8.30","8.15","8.25","+0.05","+0.61","8.20","8.25","33,322,794","274,233.48","","",""
"https://www.set.or.th/th/market/product/stock/quote/BGRIM/price","BGRIM","23.80","24.00","23.70","23.80","","","23.80","23.90","8,025,397","191,416.81","","","0.00"
"https://www.set.or.th/th/market/product/stock/quote/BH/price","BH","277.00","280.00","275.00","275.00","","","275.00","276.00","1,545,057","428,298.06","-3.00","-1.08",""
"https://www.set.or.th/th/market/product/stock/quote/BJC/price","BJC","25.25","25.50","25.00","25.25","+0.35","+1.41","25.00","25.25","3,406,163","85,613.11","","",""
"https://www.set.or.th/th/market/product/stock/quote/BLA/price","BLA","24.50","24.50","23.50","24.10","","","24.10","24.20","3,218,739","76,912.80","-0.40","-1.63",""
"https://www.set.or.th/th/market/product/stock/quote/BSRC/price","BSRC","7.70","7.70","7.55","7.60","","","7.60","7.65","865,201","6,596.00","-0.10","-1.30",""
"https://www.set.or.th/th/market/product/stock/quote/BTG/price","BTG","21.70","22.20","21.70","21.90","+0.20","+0.92","21.80","21.90","3,418,579","75,148.65","","",""
"https://www.set.or.th/th/market/product/stock/quote/BTS/price","BTS","4.54","4.70","4.52","4.56","+0.04","+0.88","4.54","4.56","180,356,226","829,928.48","","",""
"https://www.set.or.th/th/market/product/stock/quote/CBG/price","CBG","80.25","81.00","79.75","80.00","+0.50","+0.63","80.00","80.25","3,729,192","299,467.04","","",""
"https://www.set.or.th/th/market/product/stock/quote/CENTEL/price","CENTEL","37.50","37.50","36.50","36.75","","","36.50","36.75","1,493,596","55,025.00","-0.50","-1.34",""
"https://www.set.or.th/th/market/product/stock/quote/CHG/price","CHG","2.94","3.00","2.94","2.96","+0.02","+0.68","2.96","2.98","26,418,908","78,448.41","","",""
"https://www.set.or.th/th/market/product/stock/quote/CK/price","CK","19.80","19.90","19.60","19.70","","","19.70","19.80","4,375,055","86,559.22","-0.10","-0.51",""
"https://www.set.or.th/th/market/product/stock/quote/CKP/price","CKP","3.92","3.92","3.88","3.88","","","3.88","3.90","3,795,145","14,773.98","-0.02","-0.51",""
"https://www.set.or.th/th/market/product/stock/quote/COM7/price","COM7","26.00","26.50","26.00","26.25","","","26.00","26.25","5,788,518","151,796.24","","","0.00"
"https://www.set.or.th/th/market/product/stock/quote/CPALL/price","CPALL","67.50","67.50","66.50","67.00","","","66.75","67.00","20,440,200","1,369,788.12","-0.50","-0.74",""
"https://www.set.or.th/th/market/product/stock/quote/CPF/price","CPF","25.75","26.00","25.50","26.00","+0.25","+0.97","25.75","26.00","14,934,543","385,852.92","","",""
"https://www.set.or.th/th/market/product/stock/quote/CPN/price","CPN","68.50","68.75","67.00","67.00","","","67.00","67.25","5,287,238","357,427.03","-1.25","-1.83",""
