"d-flex href","symbol","text-end","text-end 2","text-end 3","text-end 4","theme-success","theme-success 2","text-end 5","text-end 6","text-end 7","px-4","theme-danger","theme-danger 2"
"https://www.set.or.th/th/market/product/stock/quote/ADVANC/price","ADVANC","280.00","285.00","280.00","284.00","+2.00","+0.71","283.00","284.00","7,424,052","2,097,871.38","",""
"https://www.set.or.th/th/market/product/stock/quote/AOT/price","AOT","63.75","64.00","63.25","63.50","","","63.25","63.50","12,162,183","773,538.44","-0.25","-0.39"
"https://www.set.or.th/th/market/product/stock/quote/AWC/price","AWC","3.78","3.80","3.74","3.76","","","3.76","3.78","40,546,477","156,119.24","-0.02","-0.53"
"https://www.set.or.th/th/market/product/stock/quote/BBL/price","BBL","154.00","155.00","152.50","153.50","","","153.50","154.00","6,406,408","984,148.55","-0.50","-0.32"
"https://www.set.or.th/th/market/product/stock/quote/BCP/price","BCP","35.50","35.75","35.00","35.00","","","35.00","35.25","5,543,417","195,023.23","-0.50","-1.41"
"https://www.set.or.th/th/market/product/stock/quote/BDMS/price","BDMS","29.00","29.50","28.75","29.50","+0.50","+1.72","29.25","29.50","46,967,276","1,373,182.27","",""
"https://www.set.or.th/th/market/product/stock/quote/BEM/price","BEM","8.20","8.30","8.15","8.25","+0.05","+0.61","8.20","8.25","33,322,794","274,233.48","",""
"https://www.set.or.th/th/market/product/stock/quote/BGRIM/price","BGRIM","23.80","24.00","23.70","23.80","","","23.80","23.90","8,025,397","191,416.81","",""
"https://www.set.or.th/th/market/product/stock/quote/BH/price","BH","277.00","280.00","275.00","275.00","","","275.00","276.00","1,545,057","428,298.06","-3.00","-1.08"
"https://www.set.or.th/th/market/product/stock/quote/BJC/price","BJC","25.25","25.50","25.00","25.25","+0.35","+1.41","25.00","25.25","3,406,163","85,613.11","",""
"https://www.set.or.th/th/market/product/stock/quote/BTS/price","BTS","4.54","4.70","4.52","4.56","+0.04","+0.88","4.54","4.56","180,356,226","829,928.48","",""
"https://www.set.or.th/th/market/product/stock/quote/CBG/price","CBG","80.25","81.00","79.75","80.00","+0.50","+0.63","80.00","80.25","3,729,192","299,467.04","",""
"https://www.set.or.th/th/market/product/stock/quote/CENTEL/price","CENTEL","37.50","37.50","36.50","36.75","","","36.50","36.75","1,493,596","55,025.00","-0.50","-1.34"
"https://www.set.or.th/th/market/product/stock/quote/CPALL/price","CPALL","67.50","67.50","66.50","67.00","","","66.75","67.00","20,440,200","1,369,788.12","-0.50","-0.74"
"https://www.set.or.th/th/market/product/stock/quote/CPF/price","CPF","25.75","26.00","25.50","26.00","+0.25","+0.97","25.75","26.00","14,934,543","385,852.92","",""
"https://www.set.or.th/th/market/product/stock/quote/CPN/price","CPN","68.50","68.75","67.00","67.00","","","67.00","67.25","5,287,238","357,427.03","-1.25","-1.83"
"https://www.set.or.th/th/market/product/stock/quote/CRC/price","CRC","34.00","34.50","33.50","33.50","","","33.50","33.75","5,518,132","187,176.04","-0.50","-1.47"
"https://www.set.or.th/th/market/product/stock/quote/DELTA/price","DELTA","133.00","133.50","129.00","129.50","","","129.50","130.00","9,718,353","1,270,011.32","-1.00","-0.77"
"https://www.set.or.th/th/market/product/stock/quote/EA/price","EA","8.40","8.50","8.20","8.25","","","8.25","8.30","46,821,248","389,147.34","-0.15","-1.79"
"https://www.set.or.th/th/market/product/stock/quote/EGCO/price","EGCO","124.00","126.00","124.00","125.00","+1.00","+0.81","125.00","125.50","674,026","84,294.21","",""
