,symbol,full name,market,sector,sub-sector
0,24CS,บริษัท ทเวนตี้ โฟร์ คอน แอนด์ ซัพพลาย จำกัด (มหาชน),mai,PROPCON,
1,2S,บริษัท 2 เอส เมทัล จำกัด (มหาชน),SET,INDUS,STEEL
2,3K-BAT,บริษัท ไทย เอ็นเนอร์จี สโตเรจ เทคโนโลยี จำกัด (มหาชน),SET,INDUS,AUTO
3,A,บริษัท อารียา พรอพเพอร์ตี้ จำกัด (มหาชน),SET,PROPCON,PROP
4,A5,บริษัท แอสเซท ไฟว์ กรุ๊ป จำกัด (มหาชน),mai,PROPCON,
5,AAI,บริษัท เอเชี่ยน อะไลอันซ์ อินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,AGRO,FOOD
6,AAV,บริษัท เอเชีย เอวิเอชั่น จำกัด (มหาชน),SET,SERVICE,TRANS
7,ABM,บริษัท เอเชีย ไบโอแมส จำกัด (มหาชน),mai,RESOURC,
8,ACAP,บริษัท เอเชีย แคปปิตอล กรุ๊ป จำกัด (มหาชน),mai,FINCIAL,
9,ACC,บริษัท แอดวานซ์ คอนเนคชั่น คอร์ปอเรชั่น จำกัด (มหาชน),SET,RESOURC,ENERG
10,ACE,บริษัท แอ๊บโซลูท คลีน เอ็นเนอร์จี้ จำกัด (มหาชน),SET,RESOURC,ENERG
11,ACG,บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน),SET,INDUS,AUTO
12,ADB,บริษัท แอ็พพลาย ดีบี จำกัด (มหาชน),mai,INDUS,
13,ADD,บริษัท แอดเทค ฮับ จำกัด (มหาชน),mai,SERVICE,
14,ADVANC,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),SET,TECH,ICT
15,ADVICE,บริษัท แอดไวซ์ ไอที อินฟินิท จำกัด (มหาชน),SET,SERVICE,COMM
16,AE,บริษัท ออลล์ เอ็นเนอร์ยี่ แอนด์ ยูทิลิตี้ จำกัด (มหาชน),SET,RESOURC,ENERG
17,AEONTS,บริษัท อิออน ธนสินทรัพย์ (ไทยแลนด์) จำกัด (มหาชน),SET,FINCIAL,FIN
18,AF,บริษัท ไอร่า แฟคตอริ่ง จำกัด (มหาชน),mai,FINCIAL,
19,AFC,บริษัท เอเซียไฟเบอร์ จำกัด (มหาชน),SET,CONSUMP,FASHION
20,AGE,บริษัท เอเชีย กรีน เอนเนอจี จำกัด (มหาชน),SET,RESOURC,ENERG
21,AH,บริษัท อาปิโก ไฮเทค จำกัด (มหาชน),SET,INDUS,AUTO
22,AHC,บริษัท โรงพยาบาลเอกชล จำกัด (มหาชน),SET,SERVICE,HELTH
23,AI,บริษัท เอเชียน อินซูเลเตอร์ จำกัด (มหาชน),SET,RESOURC,ENERG
24,AIE,บริษัท เอไอ เอนเนอร์จี จำกัด (มหาชน),SET,RESOURC,ENERG
25,AIMCG,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ เอไอเอ็ม คอมเมอร์เชียล โกรท,SET,PROPCON,PF&REIT
26,AIMIRT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ เอไอเอ็ม อินดัสเทรียล โกรท,SET,PROPCON,PF&REIT
27,AIRA,บริษัท ไอร่า แคปปิตอล จำกัด (มหาชน),mai,FINCIAL,
28,AIT,บริษัท แอ็ดวานซ์ อินฟอร์เมชั่น เทคโนโลยี จำกัด (มหาชน),SET,TECH,ICT
29,AJ,บริษัท เอ.เจ.พลาสท์ จำกัด (มหาชน),SET,INDUS,PKG
30,AJA,บริษัท เอเจ แอดวานซ์ เทคโนโลยี จำกัด (มหาชน),SET,CONSUMP,HOME
31,AKP,บริษัท อัคคีปราการ จำกัด (มหาชน),mai,SERVICE,
32,AKR,บริษัท เอกรัฐวิศวกรรม จำกัด (มหาชน),SET,INDUS,IMM
33,AKS,บริษัท เอเคเอส คอร์ปอเรชั่น จำกัด (มหาชน),SET,PROPCON,PROP
34,ALLA,บริษัท ออลล่า จำกัด (มหาชน),SET,INDUS,IMM
35,ALLY,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ อัลไล,SET,PROPCON,PF&REIT
36,ALPHAX,บริษัท อัลฟ่า ดิวิชั่นส์ จำกัด (มหาชน),mai,CONSUMP,
37,ALT,บริษัท เอแอลที เทเลคอม จำกัด (มหาชน),SET,TECH,ICT
38,ALUCON,บริษัท อลูคอน จำกัด (มหาชน),SET,INDUS,PKG
39,AMA,บริษัท อาม่า มารีน จำกัด (มหาชน),mai,SERVICE,
40,AMANAH,บริษัท อะมานะฮ์ ลิสซิ่ง จำกัด (มหาชน),SET,FINCIAL,FIN
41,AMARC,บริษัท ศูนย์ห้องปฏิบัติการและวิจัยทางการแพทย์และการเกษตรแห่งเอเซีย จำกัด (มหาชน),mai,SERVICE,
42,AMARIN,บริษัท อมรินทร์ คอร์เปอเรชั่นส์ จำกัด (มหาชน),SET,SERVICE,MEDIA
43,AMATA,บริษัท อมตะ คอร์ปอเรชัน จำกัด (มหาชน),SET,PROPCON,PROP
44,AMATAR,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอมตะซัมมิทโกรท,SET,PROPCON,PF&REIT
45,AMATAV,บริษัท อมตะ วีเอ็น จำกัด (มหาชน),SET,PROPCON,PROP
46,AMC,บริษัท เอเซีย เมทัล จำกัด (มหาชน),SET,INDUS,STEEL
47,AMR,บริษัท เอเอ็มอาร์ เอเซีย จำกัด (มหาชน),SET,TECH,ICT
48,ANAN,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),SET,PROPCON,PROP
49,ANI,บริษัท เอเชีย เน็ตเวิร์ค อินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,SERVICE,TRANS
50,AOT,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน),SET,SERVICE,TRANS
51,AP,บริษัท เอพี (ไทยแลนด์) จำกัด (มหาชน),SET,PROPCON,PROP
52,APCO,บริษัท เอเชียน ไฟย์โตซูติคอลส์ จำกัด (มหาชน),SET,CONSUMP,PERSON
53,APCS,บริษัท เอเซีย พรีซิชั่น จำกัด (มหาชน),SET,PROPCON,CONS
54,APEX,บริษัท เอเพ็กซ์ ดีเวลลอปเม้นท์ จำกัด (มหาชน),SET,PROPCON,PROP
55,APO,บริษัท เอเชียนน้ำมันปาล์ม จำกัด (มหาชน),mai,AGRO,
56,APP,บริษัท แอพพลิแคด จำกัด (มหาชน),mai,TECH,
57,APURE,บริษัท อกริเพียว โฮลดิ้งส์ จำกัด (มหาชน),SET,AGRO,FOOD
58,AQUA,บริษัท อควา คอร์เปอเรชั่น จำกัด (มหาชน),SET,SERVICE,MEDIA
59,ARIN,บริษัท อรินสิริ แลนด์ จำกัด (มหาชน),mai,PROPCON,
60,ARIP,บริษัท เออาร์ไอพี จำกัด (มหาชน),mai,SERVICE,
61,ARROW,บริษัท แอร์โรว์ ซินดิเคท จำกัด (มหาชน),mai,PROPCON,
62,AS,บริษัท แอสเฟียร์ อินโนเวชั่นส์ จำกัด (มหาชน),SET,SERVICE,MEDIA
63,ASAP,บริษัท ซินเนอร์เจติค ออโต้ เพอร์ฟอร์มานซ์ จำกัด (มหาชน),SET,FINCIAL,FIN
64,ASEFA,บริษัท อาซีฟา จำกัด (มหาชน),SET,INDUS,IMM
65,ASIA,บริษัท เอเชียโฮเต็ล จำกัด (มหาชน),SET,SERVICE,TOURISM
66,ASIAN,บริษัท เอเชี่ยนซี คอร์ปอเรชั่น จำกัด (มหาชน),SET,AGRO,FOOD
67,ASIMAR,บริษัท เอเชียน มารีน เซอร์วิสส์ จำกัด (มหาชน),SET,SERVICE,TRANS
68,ASK,บริษัท เอเซียเสริมกิจลีสซิ่ง จำกัด (มหาชน),SET,FINCIAL,FIN
69,ASN,บริษัท เอเอสเอ็น โบรกเกอร์ จำกัด (มหาชน),mai,FINCIAL,
70,ASP,บริษัท เอเซีย พลัส กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),SET,FINCIAL,FIN
71,ASW,บริษัท แอสเซทไวส์ จำกัด (มหาชน),SET,PROPCON,PROP
72,ATP30,บริษัท เอทีพี 30 จำกัด (มหาชน),mai,SERVICE,
73,AU,บริษัท อาฟเตอร์ ยู จำกัด (มหาชน),mai,AGRO,
